word,tmin,order,logfrqhal,sndpwr,phrases,bin
even,0.453316684,1332,13.1,4.2876E-09,1,one
if,0.696698684,1333,14.65,3.9148E-09,1,one
my,0.960099684,1334,14.39,4.0554E-09,1,one
head,1.067854684,1335,11.6,3.6476E-09,2,two
would,1.391120684,1336,14.06,3.987E-09,1,one
go,1.582684684,1337,12.92,3.9182E-09,1,one
through,1.785899684,1338,12.63,3.8714E-09,4,three+
thought,2.504589684,1339,12.07,3.6261E-09,1,one
poor,2.779963684,1340,10.89,3.8726E-09,1,one
Alice,3.043431684,1341,8.65,4.1825E-09,6,three+
it,4.204725684,1342,15.37,4.1998E-09,2,two
would,4.289338684,1343,14.06,3.9993E-09,1,one
be,4.480099684,1344,14.95,3.355E-09,1,one
of,4.671664684,1345,16.21,3.5885E-09,1,one
very,4.839283684,1346,13.28,3.5176E-09,1,one
little,5.279842684,1347,12.57,3.9284E-09,2,two
use,5.629487684,1348,13.43,4.0039E-09,3,three+
without,5.928807684,1349,12.45,3.6489E-09,1,one
my,6.240099684,1350,14.39,3.7933E-09,1,one
shoulders,6.311936684,1351,8.96,3.8866E-09,7,three+
Oh,7.545133684,1352,11.64,3.6978E-09,2,two
how,7.676834684,1353,13.52,3.9191E-09,2,two
I,7.856426684,1354,15.79,3.9769E-09,2,two
wish,7.964181684,1355,11.22,3.9153E-09,1,one
I,8.251528684,1356,15.79,3.6599E-09,6,three+
could,8.335337684,1357,13.21,3.8384E-09,1,one
shut,8.486719684,1358,9.89,3.8329E-09,1,one
up,8.780278684,1359,13.74,3.8228E-09,2,two
like,8.957922684,1360,13.87,4.0584E-09,1,one
a,9.083297684,1361,16.18,3.7147E-09,1,one
telescope,9.137514684,1362,8.11,4.1791E-09,7,three+
I,10.53833168,1363,15.79,3.4893E-09,2,two
think,10.64608668,1364,13.39,3.613E-09,1,one
I,10.96554568,1365,15.79,4.153E-09,2,two
could,11.10105268,1366,13.21,3.5893E-09,1,one
if,11.74758268,1367,14.65,4.2226E-09,1,one
I,11.94114868,1368,15.79,3.6936E-09,2,two
only,12.09754168,1369,13.63,4.0423E-09,2,two
know,12.40608668,1370,10.94,3.8714E-09,1,one
how,12.57370568,1371,13.52,3.8473E-09,2,two
to,12.75329768,1372,16.35,3.5818E-09,1,one
begin,12.90864768,1373,11.02,3.8925E-09,14,three+
For,14.40554168,1374,15.42,3.77E-09,1,one
you,14.57316068,1375,15.43,4.2281E-09,2,two
see,14.70486168,1376,13.27,3.5547E-09,4,three+
so,15.29152868,1377,14.05,3.6957E-09,1,one
many,15.60282068,1378,13.07,4.0575E-09,2,two
out,15.93805868,1379,13.9,4.0487E-09,1,one
of,16.09962068,1380,16.21,3.6371E-09,1,one
the,16.23737868,1381,16.96,3.6586E-09,1,one
way,16.33316068,1382,13.1,3.8773E-09,1,one
things,16.58878068,1383,12.48,3.5281E-09,4,three+
had,16.91982768,1384,13.53,3.8363E-09,1,one
happened,17.03955568,1385,10.95,3.7363E-09,1,one
lately,17.54241268,1386,9.49,3.5155E-09,2,two
that,18.36853568,1387,15.48,4.0423E-09,1,one
Alice,18.49050868,1388,8.65,3.6886E-09,2,two
had,18.90731068,1389,13.53,3.9942E-09,1,one
begun,19.03901168,1390,8.9,3.4724E-09,1,one
to,19.41016768,1391,16.35,3.6886E-09,1,one
think,19.48200468,1392,13.39,3.8249E-09,1,one
that,19.76935168,1393,15.48,3.8165E-09,1,one
very,19.92499768,1394,13.28,3.5733E-09,1,one
few,20.24826368,1395,12.49,0.013723,2,two
things,20.55240368,1396,12.48,0.000072027,2,two
indeed,20.93071268,1397,9.55,0.00052565,2,two
were,21.44554168,1398,13.41,0.0046521,1,one
really,21.58921568,1399,12.89,0.00038881,1,one
impossible,21.97234468,1400,10.21,0.013925,16,three+
There,23.78023568,1401,14.09,0.00057794,2,two
seemed,24.00771868,1402,10.54,0.000086978,1,one
to,24.40282068,1403,16.35,0.00097433,1,one
be,24.47465768,1404,14.95,0.0043987,1,one
no,24.64227668,1405,13.96,0.00316,1,one
use,24.80989568,1406,13.43,0.000091298,2,two
in,25.19302468,1407,15.9,0.0014625,1,one
waiting,25.33669868,1408,10.55,0.0021785,1,one
by,25.67193668,1409,14.4,0.000039861,1,one
the,25.86350168,1410,16.96,0.0010149,1,one
little,25.98322968,1411,12.57,0.00037813,1,one
door,26.27057568,1412,10.89,0.0028186,12,three+
so,27.04880768,1413,14.05,5.2459E-07,1,one
she,27.16853568,1414,13.1,2.8341E-06,2,two
went,27.34812668,1415,11.66,0.0016581,1,one
back,27.59955568,1416,12.88,0.00019299,2,two
to,27.87492968,1417,16.35,0.010477,1,one
